coffee_name,roaster_name,roaster_location,coffee_origin,roast_level,agtron,est_price,review_date,overall_score,h1,s1,h2,s2,h3,s3,h4,s4,h5,s5,p1,p2,p3
Fazenda do Serrado Brasil,Ritual Coffee Roasters,"San Francisco, California","Carmo de Minas growing region, Minas Gerais State, Brazil",Medium,51/60,NA,May 2008,91,Aroma:,8,Acidity:,7,Body:,8,Flavor:,8,Aftertaste:,8,"Blind Assessment: Ken (91) was struck by the pungently sweet berry or black currant notes, which carry straight through from aroma through cup to finish. Co-cupper Ted Stachura (also 91) was a bit more general in his characterization, finding ""sweet, winy tones and fruit"" in the aroma and ""bright acidity with floral qualities and sweet tangerine, cherry blossom and chocolate"" in the cup. For both Ken and Ted the finish was slightly heavy but nevertheless pleasantly rich and flavor-saturated.","Notes: Processed by the pulped natural method, meaning the skin is removed from the coffee fruit immediately after picking, but the seeds or beans are dried with the sweet pulp, or fruit flesh, still adhering to them. From trees of the Yellow Bourbon variety. Bourbon is a prestigious, heirloom variety of Coffea Arabica; this particular strain has a yellow skin. The Bourbon character, a sort of sweetly dry berry note often described as black currant, is quite prominent in this coffee. From the Carmo de Minas growing region, an area relatively high in altitude and cool in climate, which may account for this coffee's bright, complex acidity. Fazenda do Serrado is Brazilian farm celebrated for having placed in the Brazil Cup of Excellence green coffee competition three separate years. Managed by sisters Maria Rogeria and Maria Valeria Costa Pereira. Ritual is a relatively new, frequently noted (NY Times, etc.), obsessively quality-oriented coffeehouse and roastery with two locations in San Francisco and a third opening soon in the Napa wine country. Visit www.ritualroasters.com or call 415-641-1024 for more information.","Who Should Drink It: Aficionados may find an intriguing hint of Kenya in this bourbon-derived Brazil, rounded and enriched by dried-in-the-fruit processing. Others may simply enjoy a richly balanced, crisply fruit-toned cup."
Colombia Estrella del Sur,Batdorf & Bronson,"Olympia, Washington","Huila Department, Colombia.",Medium,49/55,NA,February 2008,90,Aroma:,8,Acidity:,8,Body:,7,Flavor:,8,Aftertaste:,8,"Blind Assessment: Distinctly cocoa- and nut-toned aroma. In the cup softly acidy, medium-bodied, and very sweet with continued cocoa and nut notes. In the finish the cocoa deepens toward chocolate, softening a slight astringency.",Notes: Batdorf & Bronson is a leading wholesale quality-oriented specialty roaster founded in 1986. Visit www.batdorfcoffee.com or call 800-955-5282 for more information.,Who Should Drink It: Those who prefer gentleness and simplicity to acidy excitement.
Colombia Humbenito Gonzales,Stumptown Coffee Roasters,"Portland, Oregon",Colombia,Medium,52/58,NA,February 2008,92,Aroma:,9,Acidity:,8,Body:,8,Flavor:,8,Aftertaste:,8,"Blind Assessment: Straightforward but very agreeable profile: Sweet cocoa and flower notes throughout, from a rather restrained aroma through balanced cup and rich, long finish. Sweet, acidity, solid body.","Notes: Stumptown Coffee is a small-batch premium roasting company that wholesales its coffees as well as serves them custom brewed by the cup in its Portland cafes. Under the enthusiastic leadership of Duane Sorenson, Stumptown has become a leading buyer and roaster of elite, small-lot coffees. Visit www.stumptowncoffee.com or call 503-230-7797 for more information.",Who Should Drink It: Those who prefer balance to challenge in breakfast coffees.
Organic Colombia,Wonderstate Coffee,"Viroqua, Wisconsin","Fondo Paez Cooperative, Valle de Cauca Department, western Colombia.",Medium,51/62,NA,February 2008,95,Aroma:,8,Acidity:,8,Body:,7,Flavor:,9,Aftertaste:,8,"Blind Assessment: Sweet-toned, delicately complex aroma: flowers, hints of honey, cedar and tart cherry, perhaps chocolate. In the cup very gently acidy, light in body but buoyant and silky in mouthfeel, and giddily floral- and honey-toned with complicating hints of chocolate, tart coffee fruit and Riesling-like white wine. Fades rather quickly in the finish but exquisitely clean with memories of chocolate and flowers. An exceptionally pure and balanced coffee.","Notes: This coffee is certified organically grown. Although the words ""Fair Trade"" appear as well on the label of the attractive 12-ounce valve-topped can, the trade-marked seal of TransFair USA, the sole American certifier for the Fair-trade Labeling Organizations International (FLO), does not. Fondo Paez is a cooperative of 550 farmers from the indigenous Paez people of central Colombia. Wonderstate Coffee, formerly Kickapoo Coffee, is an award-winning roaster based in rural Wisconsin known for their commitment to guaranteeing higher pay for farmers and being the country’s first 100% solar powered roastery. Visit https://wonderstate.com/ for more information.",Who Should Drink It: A refined and refreshing coffee with great natural sweetness and balance. Avoid adding anything to it.
Yemen Mocha,Batdorf & Bronson,"Olympia, Washington","Central north Yemen, probably near Sana'a.",Medium-Dark,47/54,NA,November 2007,87,Aroma:,8,Acidity:,7,Body:,8,Flavor:,7,Aftertaste:,7,"Blind Assessment: Ambiguous flavors associated with fruity mustiness run through the profile. Co-cupper Miguel Meza (87) describes them as: ""Sweet-smoky and medicinal. A pungent and musty full-bodied coffee with exotic hints of eucalyptus, sassafras and bakers' yeast.""  Ken (86) is more conventional and more positive: ""Rich, raisiny dark chocolate with a pungent cedar and herbal edge in aroma and rather syrupy cup.""","Notes: A dry-processed or ""natural"" coffee, meaning the beans were dried inside the fruit rather than after the fruit has been removed, as is the case with wet-processed or ""washed"" coffees. Although Ethiopia is the botanical home of Coffea arabica, Yemen introduced the beverage to the rest of the world in the 16th and 17th centuries. Amazingly, little has changed in the Yemeni coffee industry since then; coffee is still grown from ancient cultivars, sun-dried on the roofs of stone houses and hulled by millstone. Mocha is the name first given to Yemen coffee by Europeans because it was shipped exclusively through the port of Al Makha or Mocha. Batdorf & Bronson is a leading wholesale quality-oriented specialty roaster with roasting locations in both Olympia, Washington and Atlanta, Georgia. Visit www.batdorfcoffee.com or call 800-955-5282 for more information.",Who Should Drink It: Those who prefer the interesting to the beautiful.
Organic Ethiopian Special Prep,Wonderstate Coffee,"Viroqua, Wisconsin",Ethiopia,Light,70/86,NA,November 2007,89,Aroma:,9,Acidity:,7,Body:,8,Flavor:,8,Aftertaste:,7,"Blind Assessment: Both co-cupper Miguel Meza (88) and Ken (89) agreed that this coffee was low-toned, but for Ken it displayed a quietly resonant depth whereas apparently for Miguel it was simply quiet. Miguel found chocolate and citrus in the aroma, Ken chocolate and a distinct ginger note. Miguel read ""blueberry, over-ripe fruit and toast"" in the crisply fruity cup, Ken dry chocolate, brandy, blueberries, apricot, flowers. Both noted a persistence of berryish fruit in an otherwise rather thinnish finish.","Notes: A dry-processed or ""natural"" coffee, meaning the beans were dried inside the fruit rather than after the fruit has been removed, as is the case with wet-processed or ""washed"" coffees. Certified organically grown and produced by members of the huge Oromia cooperative, this coffee also is described as ""100% Fair Trade"" on the front of the bag. Wonderstate Coffee, formerly Kickapoo Coffee, is an award-winning roaster based in rural Wisconsin known for their commitment to guaranteeing higher pay for farmers and being the country’s first 100% solar powered roastery. Visit https://wonderstate.com/ for more information.",Who Should Drink It: Those who value quiet comfort and a certified organic cup.
Ethiopia Aricha Seven,Zoka Coffee Roasters,"Seattle, Washington","Yirgacheffe growing region, Sidamo Province, southern Ethiopia.",Medium,53/66,NA,November 2007,90,Aroma:,9,Acidity:,7,Body:,8,Flavor:,8,Aftertaste:,7,"Blind Assessment: Co-cupper Miguel Meza (89) was rather faint in his praise of this coffee, finding a ""floral and tropical citrus"" character he associates with the more familiar washed or wet-processed Ethiopia profile, with added ""chocolate and berry"" nuance derived from dry-processing. Ken (91) wrestles with the detail a bit more, admiring a wine or brandy nuance to the chocolate and berry character, which he finds ""lush but crisp.""","Notes: A dry-processed or ""natural"" coffee, meaning the beans were dried inside the fruit rather than after the fruit has been removed, as is the case with wet-processed or ""washed"" coffees. Aricha Selection Seven is a specially prepared and selected lot of dry-processed coffee from the Yirgacheffe region exported by S.A. Bagersh and air shipped to the United States by Joseph Brodsky's Ninety Plus Coffee program. Zoka is a leading small-batch roaster specializing in espresso blends and espresso education. Visit www.zokacoffee.com or call 206-545-4313 for more information.","Who Should Drink It: A quiet version of berries, chocolate and wine, perhaps for those who find extravagance wearing yet purity boring."
Colombia La Esperanza,Stumptown Coffee Roasters,"Portland, Oregon","Huila Department, Colombia.",Medium-Light,56/66,NA,October 2007,91,Aroma:,9,Acidity:,8,Body:,8,Flavor:,9,Aftertaste:,7,"Blind Assessment: Deep, lush aroma: cherry, semi-sweet chocolate, flowers. In the cup smooth acidity, supple mouthfeel, sweet- and low-toned fruit and floral character suggesting semi-sweet chocolate, molasses, pipe tobacco. Simplifies a bit in the finish, particularly as the cup cools.","Notes: A prize winner in the 2007 Colombia First Harvest Cup of Excellence (www.cupofexcellence.org) competition, where as a green (unroasted) coffee it placed first out of hundreds of entries, attracting a score of 91.5 from an international jury. Stumptown Coffee is a small-batch premium roasting company that wholesales its coffees as well as serves them custom brewed by the cup in its Portland cafes. Under the youthful and enthusiastic leadership of Duane Sorenson, Stumptown has become a leading buyer and supporter of competition-winning coffees. Visit www.stumptowncoffee.com or call 503-230-7797 for more information.",Who Should Drink It: Lovers of quiet intrigue.
El Salvador La Montana,Terroir Coffee,"Acton, Massachusetts","Chalatenango Department, El Salvador",Medium-Light,62/77,NA,October 2007,93,Aroma:,9,Acidity:,8,Body:,8,Flavor:,8,Aftertaste:,8,"Blind Assessment: The aroma has great depth and range of sensation: flowers, butter, cherry, hints of chocolate and cedar. In the cup rich acidity, supple mouthfeel. The aromatics simplify slightly in the mouth but retain great depth and power: tartly pungent though ripe cherry, distinct honey, a continuing hint of chocolate. Clean, sweet finish.","Notes: A prize winner in the 2007 El Salvador Cup of Excellence (www.cupofexcellence.org) competition, where as a green (unroasted) coffee it placed first out of hundreds of entries, attracting a score of 92.8 from an international jury. This lot, selected by farmer Raul Ochoa, is composed entirely of beans from trees of the recently developed but admired Pacamara variety of arabica, a large-beaned cross between the very large-beaned Maragogipe variety and the local El Salvador Pacas. Terroir is a microroaster selling only elite single-origin coffees, no blends. It specializes in medium roast styles designed to foreground the character of the green coffee. Terroir is the creation of George Howell, one of the world's leading coffee visionaries. Visit www.terroircoffee.com or call 866-444-5282 for more information.",Who Should Drink It: Complex classicists.
Nicaragua Organic Fair Trade,Batdorf & Bronson,"Olympia, Washington","San Juan del Rio Coco, northern Nicaragua",NA,0/0,NA,September 2007,90,Aroma:,7,Acidity:,8,Body:,8,Flavor:,8,Aftertaste:,8,"Blind Assessment: A balanced, quietly complete cup. Simple but harmonious aroma: chocolate-toned with a hint of cedar. In the cup gently rich acidity, smooth mouthfeel, muted night flowers, milk chocolate, tart cherry. Resonant finish.","Notes: This coffee is certified organically grown and Fair Trade certified, meaning it was purchased from the small-holding farmers at a ""fair"" or economically sustainable price. Batdorf & Bronson is a leading wholesale quality-oriented specialty roaster that has developed close relationships with many of its coffee suppliers, including the 15th de Septiembre Cooperative that produced this impeccably processed coffee. Visit www.batdorfcoffee.com or call 800-955-5282 for more information.",Who Should Drink It: Quietly assured social idealists.
Rwanda,Wonderstate Coffee,"Viroqua, Wisconsin",Rwanda,Medium-Light,55/74,NA,September 2007,91,Aroma:,9,Acidity:,8,Body:,7,Flavor:,8,Aftertaste:,8,"Blind Assessment: Very sweet-toned aroma with distinct floral and fresh coffee fruit notes. In the cup sustains its sweetness with a delicate intensity and continued floral and fresh coffee fruit (tart cherry) notes that carry into a long, richly bright finish.","Notes: The coffee cooperatives of Rwanda, benefiting from superb growing conditions, traditional varieties of arabica and support from aid agencies and coffee idealists, are beginning to produce coffees that rank among the world's finest and most distinctive. This Rwanda is certified organically grown. Wonderstate Coffee, formerly Kickapoo Coffee, is an award-winning roaster based in rural Wisconsin known for their commitment to guaranteeing higher pay for farmers and being the country’s first 100% solar powered roastery. Visit https://wonderstate.com/ for more information.",Who Should Drink It: Pure-palated social idealists who can tolerate some ambiguity in credentialing.
Kenya Karogoto,Terroir Coffee,"Acton, Massachusetts",South-central Kenya.,Medium-Light,52/71,NA,August 2007,96,Aroma:,9,Acidity:,8,Body:,8,Flavor:,9,Aftertaste:,9,"Blind Assessment: Floral-toned, intense aroma dominated by the elegantly crisp, dry berry note coffee tasters are fond of calling black currant. In the cup richly acidy. The black currant note softens toward cherry under the influence of a sweet, deeply honeyed richness. The black currant revives in the flavor-saturated finish.","Notes: Despite stresses brought on by charges of corruption and a confused transition toward an open market, the famed Kenya coffee auction system and its participating cooperatives continue to produce some of the world's most elegant and distinctive coffees. Terroir is a microroaster selling only elite single-origin coffees, no blends. It specializes in medium roast styles designed to foreground the character of the green coffee. Terroir is the creation of George Howell, one of the world's leading coffee visionaries. Visit www.terroircoffee.com or call 866-444-5282 for more information.","Who Should Drink It: A classicist's cup, forcefully acidy but gracefully sweet and nuanced."
Brazil Daterra South Italian Style Espresso,Terroir Coffee,"Acton, Massachusetts","Cerrado growing region, Minas Gerais State, Brazil.",Medium-Light,55/67,NA,August 2007,93,Aroma:,9,Body:,8							,Flavor:,9,Aftertaste:,8,With Milk:,8,"Blind Assessment: In the aroma crisp orange with hints of honey and cedar. In the small cup silky body with a continuing distinct orange note. The honey deepens toward a molasses-toned semi-sweet chocolate. Rich, chocolaty finish. In milk the orange notes complicate a delicate milk chocolate and a superb finish.","Notes: Daterra is arguably the world's most technically sophisticated coffee farm. The Cerrado is high plateau with a very dry harvest season, making it ideal for the production of the sweet, mainly sun-dried Brazilian coffee types favored worldwide for the creation of fine espresso coffees. My sample of this single-farm espresso produced a lovely golden churning crema and seemed to show best at a relatively short extraction time. Terroir is a microroaster selling only elite single-origin coffees, no blends. It specializes in medium roast styles designed to foreground the character of the green coffee. Terroir is the creation of George Howell, one of the world's leading coffee visionaries. Visit www.terroircoffee.com or call 866-444-5282 for more information.","Who Should Drink It: An aromatic, versatile espresso for straight shots and short milk drinks."
Tanzania Peaberry,Batdorf & Bronson,"Olympia, Washington",Northern Tanzania.,Medium,44/58,NA,June 2007,88,Aroma:,7,Acidity:,7,Body:,8,Flavor:,8,Aftertaste:,7,"Blind Assessment: Low-toned and nut-like aroma with a hint of chocolate. In the cup round, simple but resonant, with fruit that carries hints of chocolate, red wine, orange perhaps. Rich and sweet in the short finish, a bit heavy in the long.","Notes: Peaberries result when the coffee fruit develops only a single, oval bean rather than the usual pair of flat-sided beans. Peaberries produce a somewhat different cup than normal beans from the same crop, from which they may or may not be separated during grading. Batdorf & Bronson is a leading wholesale quality-oriented specialty roaster with roasting locations in both Olympia, Washington and Atlanta, Georgia. Visit www.batdorfcoffee.com or call 800-955-5282 for more information.",Who Should Drink It: A quiet but deeply dimensioned coffee with a low-toned presence that should hold its own with whitener.
Estate Java,Batdorf & Bronson,"Olympia, Washington","East Java, Indonesia.",Medium,45/58,NA,April 2007,90,Aroma:,9,Acidity:,8,Body:,7,Flavor:,8,Aftertaste:,7,"Blind Assessment: A strikingly distinctive coffee that suffers a bit in the finish. Splendid aroma: sweetly and deeply pungent, with floral, chocolate and pipe tobacco notes. In the cup low-toned but vibrant acidity, crisply nut-like with distinct orange notes. The nut notes turn very slightly stiff and dusty in the finish. ","Notes: Most Java coffees are produced, like this one, on large government-operated estates in the mountains of East Java. These farms are old and quite traditional in their procedures and operation. Batdorf & Bronson is a leading wholesale quality-oriented specialty roaster with roasting locations in both Olympia, Washington and Atlanta, Georgia. Visit www.batdorfcoffee.com or call 800-955-5282 for more information.",Who Should Drink It: Those who enjoy things that are exotic but balanced.
Blooming Blend,4-Arts Zero Defects Coffees,Taiwan,Costa Rica; Guatemala; Ethiopia; Brazil; Java,Medium-Dark,43/49,NA,March 2007,89,Aroma:,9,Acidity:,7,Body:,8,Flavor:,7,Aftertaste:,7,"Blind Assessment: Superb aroma: Richly and deeply fruity with floral top notes. In the small cup leanish but smooth mouthfeel, salty sweet, crisp, deeply cedary, with an apricot-toned semi-sweet chocolate. Rich but slightly astringent finish. Masters milk with dry power but without opulence. ","Notes: 4-Arts Zero Defect Coffees is a micro-roasting company founded by Simon Hsieh, a Taiwanese coffee writer and columnist. Visit www.facebook.com/4ArtsZeroDefectCoffees or call 886-0983-749876 for more information.",Who Should Drink It: Those who enjoy complex austerity. 
Dancing Goats Decaf,Batdorf & Bronson,"Olympia, Washington",Not disclosed.,Dark,25/49,NA,March 2007,90,Aroma:,8,Body:,8							,Flavor:,8,Aftertaste:,7,With Milk:,8,"Blind Assessment: Sweet-toned, very deep aroma with complication that reads as banana, orange, semi-sweet chocolate. In the small cup full bodied and cedar- and caramel-toned with continued suggestions of banana-like fruit and semi-sweet chocolate. The cedar and chocolate tones round and sweeten in milk without losing their crisp authority.","Notes: Coffees in this blend were decaffeinated by the ""Swiss Water Process"" method, which does not involve use of solvents. Batdorf & Bronson is a leading wholesale quality-oriented specialty roaster with roasting locations in both Olympia, Washington and Atlanta, Georgia. Visit www.batdorfcoffee.com or call 800-955-5282 for more information.",Who Should Drink It: A quietly rugged espresso that should keep the inner goats dancing.
Between Roast,Community Coffee,"Baton Rouge, Louisiana",Not disclosed.,Very Dark,0/49,NA,January 2007,87,Aroma:,7,Acidity:,7,Body:,8,Flavor:,8,Aftertaste:,7,"Blind Assessment: A quiet, sweetly rounded coffee. Cherry and a hint of chocolate in the aroma, softly acidy and rather full-bodied in the cup, with candied walnut, cacao and pipe tobacco notes. Simple, gently rich finish.","Notes: Purchased as pre-ground brick in a sealed 16-ounce foil-laminated bag with one-way valve at a Publix supermarket in Atlanta; 36 cents per dry ounce. Community Coffee is a distinguished family-owned coffee company founded in 1919 that offers both refined specialty coffees as well as high-value, traditional red-packaged blends like this one. Visit www.communitycoffee.com or call 800-525-5583 for more information.",Who Should Drink It: Those who find acidy coffees too sharp and dark-roast coffees too bitter.  
