coffee_name,roaster_name,roaster_location,coffee_origin,roast_level,agtron,est_price,review_date,overall_score,h1,s1,h2,s2,h3,s3,h4,s4,h5,s5,p1,p2,p3
Kenya Nyeri Maganjo AB,Chousin Coffee Collection,"Xinbei, Taiwan","Nyeri growing region, south-central Kenya",Light,62/81,NT $500/8 ounces,September 2022,92,Aroma:,9,Acidity/Structure:,8,Body:,8,Flavor:,9,Aftertaste:,8,"Blind Assessment: Rich-toned, chocolaty. Baking chocolate, black currant, freesia-like flowers, clove, agave syrup in aroma and cup. Sweet structure with gentle, round acidity; full, satiny mouthfeel. The delicate finish leads with chocolate and freesia in the short, clove and agave syrup in the crisp-toned long.","Notes: Despite grower discontent and urban encroachment on prime coffee lands, Kenya continues to produce some of the world’s most elegant and distinctive coffees. Chousin Coffee Collection is a specialty coffee roaster and cafe in Xinbei, Taiwan. Visit www.facebook.com/kaffee.collection for more information.","The Bottom Line: A straight-ahead Kenya cup: chocolaty, spice-driven, deeply sweet."
Kona Noir,Big Island Coffee Roasters,"Mountain View, Hawaii","Holualoa, Kona, Big Island of Hawai’i",Light,62/80,$29.00/4 ounces,September 2022,94,Aroma:,9,Acidity/Structure:,9,Body:,9,Flavor:,9,Aftertaste:,8,"Blind Assessment: Elegantly fruit-toned, gently spice-driven. Date, clove, blood orange, baking chocolate, cedar in aroma and cup. Complex bittersweet structure with winey acidity; plush, syrupy mouthfeel. The resonant finish is centered around notes of date, blood orange and clove.","Notes: Produced by Kraig Lee and Franck Carisey entirely of the SL34 variety of Arabica, and processed by the washed method (fruit skin and flesh are removed from the beans before they are dried) with the addition of wine yeasts during fermentation. Big Island Coffee is an award-winning coffee roaster operated with hands-on passion by Kelleigh Stewart and Brandon von Damitz. Visit www.bigislandcoffeeroasters.com for more information.","The Bottom Line: A distinctive Kona cup from the rare Kenya-derived SL34 variety of Arabica, worth seeking out for its confident fruit and nuanced spice notes."
Kona Red Bourbon,Big Island Coffee Roasters,"Mountain View, Hawaii","Holualoa, Kona, Big Island of Hawai’i",Medium-Light,60/78,$49.00/10 ounces,September 2022,94,Aroma:,9,Acidity/Structure:,9,Body:,9,Flavor:,9,Aftertaste:,8,"Blind Assessment: Richly sweet-tart, deeply chocolaty. Dark chocolate, pomegranate, lemon verbena, agave syrup, pink grapefruit zest in aroma and cup. Sweetly tart structure with apple-like malic acidity; very full, smooth, viscous mouthfeel. The finish consolidates to notes of pomegranate and dark chocolate with undertones of pink grapefruit zest.","Notes: Produced by Franck Carisey of Uluwehi Farm entirely of the Red Bourbon variety of Arabica, and processed by the traditional washed method (fruit skin and flesh are removed from the beans before they are dried) with the addition of wine yeasts during fermentation. Big Island Coffee is an award-winning coffee roaster operated with hands-on passion by Kelleigh Stewart and Brandon von Damitz. Visit www.bigislandcoffeeroasters.com for more information.","The Bottom Line:  This Big Island Red Bourbon fermented with wine yeasts displays an intriguing cup profile that juxtaposes tart fruit with rich chocolate notes — juicy, deep, balanced and bright."
Kenya Washed Nyeri Hill Farm AA Top,Kakalove Cafe,"Chia-Yi, Taiwan","Nyeri growing region, south-central Kenya",Medium-Light,60/77,NT $390/8 ounces,September 2022,96,Aroma:,9,Acidity/Structure:,9,Body:,9,Flavor:,10,Aftertaste:,9,"Blind Assessment: Rich-toned, expressively layered, deeply sweet-savory. Ginger flower, toasted coconut, dried red currant, wild honey, cedar in aroma and cup. Savory-sweet structure with high-toned, vibrant acidity; plush, creamy mouthfeel. The long, intense finish is centered around notes of ginger and wild honey, with supporting notes of red currant and coconut.",Notes: Kakalove Café is a nano-roaster located in the small city of Chia-Yi in Taiwan that strives to procure and roast the finest quality coffee. Visit www.kakalovecafe.com.tw or email [email protected] for more information.,"The Bottom Line: An exceptionally lush, balanced, intricate Kenya cup that delights with sweet and savory turns, a transparently lyrical structure that carries far into the long finish."
Ethiopia Nano Genji,Temple Coffee,"Sacramento, California","Agaro Gera, Jimma Zone, Oromia State, Ethiopia",Light,62/80,$25.50/12 ounces,September 2022,95,Aroma:,9,Acidity/Structure:,9,Body:,9,Flavor:,9,Aftertaste:,9,"Blind Assessment: Elegantly bright, delicately juicy, richly aromatic. Cocoa nib, ginger flower, apricot, pink grapefruit zest, hint of thyme in aroma and cup. Sweet-tart structure with juicy acidity; plush, syrupy mouthfeel. Resonant, long, flavor-saturated finish.","Notes: Produced by smallholding farmers of the Kata Muduga Cooperative in Ethiopia’s Jimma Zone, from local heirloom varieties of Arabica, and processed by the washed method. Temple Coffee is a quality-focused retail and wholesale specialty roaster active in Sacramento, California since 2005. Committed to sourcing, roasting and brewing the finest coffees, Temple features coffee from distinguished single estates and cooperatives around the world. Visit www.templecoffee.com or call 916-454-1282 for more information.","The Bottom Line: A high-toned, classic washed Ethiopia cup: cocoa-toned, citrusy, floral."
Ethiopia Natural Sidama Abebe 74110,Kakalove Cafe,"Chia-Yi, Taiwan","Sidamo growing region, southern Ethiopia",Light,62/80,NT $300/4 ounces,September 2022,95,Aroma:,9,Acidity/Structure:,9,Body:,9,Flavor:,9,Aftertaste:,9,"Blind Assessment: Fruit-centered, richly chocolaty. Dried mango, dark chocolate, Calla lily, sandalwood, hazelnut brittle in aroma and cup. Sweetly tart with bright, balanced acidity; syrupy, viscous mouthfeel. The confident finish is long and flavor-laden.","Notes: Produced by smallholding farmers entirely of the 74110 variety of Arabica, and processed by the natural method (dried in the whole fruit). Kakalove Café is a nano-roaster located in the small city of Chia-Yi in Taiwan that strives to procure and roast the finest quality coffee. Visit www.kakalovecafe.com.tw or email [email protected] for more information.

 ",The Bottom Line: An enticingly fruit-forward natural-processed single-variety Ethiopia cup with ballast from dark chocolate and caramelized hazelnut notes.
Ethiopia Natural Guji TAMIRU 74158 Kakalove Lot,Kakalove Cafe,"Chia-Yi, Taiwan","Guji Zone, Oromia Region, southern Ethiopia",Light,64/84,NT $350/4 ounces,September 2022,95,Aroma:,9,Acidity/Structure:,9,Body:,9,Flavor:,9,Aftertaste:,9,"Blind Assessment: Enticingly sweet, deeply floral-toned. Lilac, cocoa nib, pomelo, amber, almond nougat in aroma and cup. Gently tart in structure with juicy, vibrant acidity; very satiny, smooth mouthfeel. Rich finish that harmoniously sustains all of the aromatics.","Notes: Produced by Tamiru Tadesse entirely from the 74158 variety of Arabica, and processed by the natural method (dried in the whole fruit) exclusively for this roaster. Kakalove Café is a nano-roaster located in the small city of Chia-Yi in Taiwan that strives to procure and roast the finest quality coffee. Visit www.kakalovecafe.com.tw or email [email protected] for more information.","The Bottom Line: A nuanced, enigmatic Ethiopia natural cup that rewards patience with its lyrical expressiveness and holistic integration."
Rwanda Sholi Natural Single-Origin Espresso,Temple Coffee,"Sacramento, California","Muhanga, Rwanda",Medium-Light,56/72,$22.00/12 ounces,September 2022,94,Aroma:,9,Body:,9							,Flavor:,9,Aftertaste:,8,With Milk:,9,"Blind Assessment: Evaluated as espresso. Richly fruit-toned, chocolaty. Tiramisu, raspberry coulis, almond butter, hop flowers, cedar in aroma and small cup. Viscous, satiny mouthfeel; crisply tart finish with notes of raspberry and cedar. In cappuccino-scaled milk, raspberry and creamy chocolate notes take center stage.","Notes: Temple Coffee is a quality-focused retail and wholesale specialty roaster active in Sacramento, California since 2005. Committed to sourcing, roasting and brewing the finest coffees, Temple features coffee from distinguished single estates and cooperatives around the world. Visit www.templecoffee.com or call 916-454-1282 for more information.","The Bottom Line: A compelling natural-processed Rwanda, deftly roasted for espresso to bring out berry and chocolate notes — also delicious as a pourover."
Guatemala Washed Finca El General Lot SummerEnd Espresso,Kakalove Cafe,"Chia-Yi, Taiwan","Acatenango, Chimaltenango Department, Guatemala",Medium-Light,56/74,NT $240/8 ounces,September 2022,94,Aroma:,9,Body:,9							,Flavor:,9,Aftertaste:,8,With Milk:,9,"Blind Assessment: Evaluated as espresso. Very sweet, floral, richly nutty. Black cherry, almond butter, dark chocolate, cedar, tangerine zest in aroma and small cup. Full, syrupy-smooth mouthfeel; chocolaty, nut-driven finish. In three parts milk, dark chocolate and almond butter take center stage, with support from pretty florals and citrus.","Notes: A blend of coffees produced by Finca El General in Acatenango, Guatemala and processed by the wet or washed method (fruit skin and pulp are removed before drying).   Kakalove Café is a nano-roaster located in the small city of Chia-Yi in Taiwan that strives to procure and roast the finest quality coffee. Visit www.kakalovecafe.com.tw or email [email protected] for more information. ","The Bottom Line: A compelling and complete Guatemala espresso, animated by notes of dark stone fruit, citrus zest, dark chocolate and rich nut butter."
Guatemala Washed Acatenango Finca El General Pacamara Espresso,Kakalove Cafe,"Chia-Yi, Taiwan","Acatenango, Chimaltenango Department, Guatemala",Medium-Light,58/78,NT $350/8 ounces,September 2022,94,Aroma:,9,Body:,9							,Flavor:,9,Aftertaste:,8,With Milk:,9,"Blind Assessment: Evaluated as espresso. Deep-toned, sweetly savory. Dried fig, hop flowers, lemon verbena, dark chocolate, clove in aroma and small cup. Satiny-smooth mouthfeel; chocolaty finish with clove undertones. In cappuccino-scaled milk, spiced-toned chocolate notes are elevated, while fig and herb notes support.","Notes: Produced by Finca El General in Acatenango, Guatemala entirely of the Pacamara variety of Arabica, and processed by the wet or washed method (fruit skin and pulp are removed before drying). Kakalove Café is a nano-roaster located in the small city of Chia-Yi in Taiwan that strives to procure and roast the finest quality coffee. Visit www.kakalovecafe.com.tw or email [email protected] for more information. ","The Bottom Line: An unusual single-origin espresso, a big-beaned Pacamara from Guatemala that displays rich spice tones and other savory impulses within the context of deep sweetness; think an Ibarra chocolate dessert."
Guatemala Los Santos,Temple Coffee,"Sacramento, California","Chimaltenango, Guatemala",Medium-Light,58/77,$22.00/12 ounces,September 2022,93,Aroma:,9,Acidity/Structure:,9,Body:,8,Flavor:,9,Aftertaste:,8,"Blind Assessment: Crisply sweet-tart, richly nut-toned. Pomegranate, baking chocolate, hazelnut, lime zest, cedar in aroma and cup. Sweet-tart structure with gently bright, balanced acidity; crisp, satiny mouthfeel. Quiet finish centered around sweet nut and chocolate tones.","Notes: Produced by smallholding farmers, from trees of the Bourbon, Caturra, Typica and Catuai varieties of Arabica, and processed by the washed method. Temple Coffee is a quality-focused retail and wholesale specialty roaster active in Sacramento, California since 2005. Committed to sourcing, roasting and brewing the finest coffees, Temple features coffee from distinguished single estates and cooperatives around the world. Visit www.templecoffee.com or call 916-454-1282 for more information.","The Bottom Line: A juicy, balanced Guatemala cup with tart fruit, crisp chocolate, and deeply sweet hazelnut notes throughout."
Finca Cerro Azul Aces Lot,Revel Coffee,"Billings, Montana","Guerrero State, Mexico",Medium-Light,61/79,$32.25/8 ounces,September 2022,94,Aroma:,9,Acidity/Structure:,9,Body:,9,Flavor:,9,Aftertaste:,8,"Blind Assessment: Fruit-saturated, sweetly fermenty. Concord grape, dark chocolate, vanilla orchid, wine barrel, tangerine zest in aroma and cup. Brightly sweet-tart structure with juicy acidity; very full, satiny mouthfeel. Fruit-toned finish with notes of wine barrel into the long.","Notes: Produced by Feliciano Adamo of Finca Cerro Azul from trees of the Bourbon, Typica and Oro Azteca varieties of Arabica, and processed by the anaerobic natural method, in which the whole fruit is fermented in a hermetically sealed vessel before drying. Revel Coffee is a micro-roaster located in Billings, Montana. Its motto: “Quality is paramount – a difference you can revel in.” Visit www.revelcoffee.com or call 406-534-9621 for more information.","The Bottom Line: A richly aromatic, fruit-toned anaerobic natural cup with deep chocolate and sweet floral notes and a throughline of intentional winey ferment well integrated into the profile."
Mexico Maya Vinic,Amavida Coffee Roasters,"Santa Rosa Beach, Florida","Los Altos, Chiapas State, Mexico",Medium-Light,57/76,$16.00/12 ounces,September 2022,93,Aroma:,9,Acidity/Structure:,8,Body:,9,Flavor:,9,Aftertaste:,8,"Blind Assessment: Crisply sweet, balanced, spice-toned. Baking chocolate, almond butter, date, clove, magnolia in aroma and cup. Sweet structure with gentle, round acidity; plush, syrupy mouthfeel. Chocolaty nut tones in the finish supported by magnolia-like flowers.","Notes: Produced by smallholding members of the Maya Vinic Cooperative from trees of the Typica, Caturra and Mundo Novo varieties of Arabica, and processed by the traditional washed method (fruit skin and flesh are removed from the beans before they are dried). Certified organic and Fair Trade. The company name Amavida combines the Spanish words for love and life, reflecting Amavida’s multifaceted commitment to fairness and fine coffee. For more information, visit www.amavida.com or call 850-213-1965.","The Bottom Line: A satisfyingly familiar Mexico cup: crisp, chocolaty, balanced, harmonious."
Chiapas Chimhucum Semi-Washed,Badbeard’s Microroastery,"Portland, Oregon","Los Altos, Chiapas State, Mexico",Medium-Light,56/76,$16.95/16 ounces,September 2022,93,Aroma:,9,Acidity/Structure:,8,Body:,9,Flavor:,9,Aftertaste:,8,"Blind Assessment: Delicately sweet, subtly complex. Dried apricot, cocoa nib, freesia-like flowers, cedar, tangerine zest in aroma and cup. Richly bittersweet structure with balanced acidity; full, syrupy-smooth mouthfeel. Cocoa-toned finish with dried apricot and tangerine notes.","Notes: Produced by smallholding farmers in the Los Altos region of Chiapas from trees of the Caturra, Catuai and Sarchimor varieties of Arabica, and processed by the semi-washed, or “miel” (honey) method, in which in which the skins are removed from the fruit but some of the fruit flesh (mucilage) is allowed to dry on the beans. Badbeard's Microroastery is a Portland, Oregon-based small-batch roaster focused on quality and freshness. Badbeard's encourages its customers to ""make great coffee at home."" Visit www.badbeardscoffee.com for more information.","The Bottom Line: A quietly nuanced, honey-processed Mexico cup with dried stone fruit, cocoa and citrus."
Mexico Chiapas Las Margaritas Pache Natural,Fumi Coffee Company,"Hsinchu, Taiwan","Las Margaritas, Chiapas State, Mexico",Light,64/80,NT $850/240 grams,September 2022,93,Aroma:,9,Acidity/Structure:,9,Body:,8,Flavor:,9,Aftertaste:,8,"Blind Assessment: Richly fruit-driven, sweetly herbaceous. Lychee, passionfruit, baking chocolate, lemon verbena, agave syrup in aroma and cup. Brightly sweet-tart structure with high-toned acidity; smooth, velvety mouthfeel. The finish consolidates to notes of lemon verbena and agave syrup. ","Notes: Produced by Byeong Soo Kim of Don Rafa Farm entirely of the Pache variety of Arabica, and processed by the natural method (beans are dried in the whole fruit). Roaster Yu Chih Hao is co-founder of Fumi Coffee, a roaster in Hsinchu, Taiwan specializing in specialty coffee and homemade desserts. Visit https://m.facebook.com/fumicafe035586631/ for more information.",The Bottom Line: A paradoxically lush and crisp natural-processed Mexico with top notes of tropical fruit and undertones of sweet herb.
Capitan Maragogype,Speckled Ax,"Portland, Maine","Chiapas, Mexico",Medium-Light,54/76,$22.00/12 ounces,September 2022,93,Aroma:,9,Acidity/Structure:,8,Body:,9,Flavor:,9,Aftertaste:,8,"Blind Assessment: Richly chocolaty, deep-toned. Dark chocolate, hop flowers, black cherry, cinammon, fresh-cut cedar in aroma and cup. Bittersweet structure with gentle, round acidity; plush, creamy mouthfeel. Chocolaty finish with supporting notes of hop flowers and cinnamon.","Notes: Produced by smallholding members of Cafe Capitan, a Chiapas cooperative, entirely from trees of the Maragogype variety of Arabica, and processed by the washed method. Certified organic. Speckled Ax is a roaster based in Portland, Maine, specializing in high-quality certified organic and small-lot coffees. The company roasts in a vintage wood-fired Petroncini roaster with the goal of highlighting each coffee’s best attributes. Visit www.speckledax.com for more information.",The Bottom Line: A compelling umami-leaning Maragogype cup with savory floral and complex fruit and spice notes.
Mexico Ozolotepec,Wonderstate Coffee,"Viroqua, Wisconsin","Oaxaca, Mexico",Medium-Light,57/76,$19.00/12 ounces,September 2022,93,Aroma:,9,Acidity/Structure:,8,Body:,9,Flavor:,9,Aftertaste:,8,"Blind Assessment: Deeply sweet, crisply chocolaty. Baking chocolate, almond nougat, pear, fresh-cut oak, pink grapefruit zest in aroma and cup. Sweet-toned structure with brisk acidity; full, syrupy-smooth mouthfeel. The finish centers around notes of almond nougat and pink grapefruit zest.","Notes: Produced by smallholding members of the UNECAFE Cooperative, from trees of the Typica, Bourbon, Caturra, Mundo Novo and Marsellesa varieties of Arabica, and processed by the washed method. Certified organic. Wonderstate Coffee, formerly Kickapoo Coffee, is an award-winning roaster based in rural Wisconsin known for its commitment to guaranteeing higher pay for farmers and being the country’s first 100% solar-powered roastery. Visit wonderstate.com for more information.","The Bottom Line: A classic Mexico cup — sweet, balanced, chocolaty and nut-toned."
Mexico Nyarita Canela,Mostra Coffee,"San Diego, California","Nyarita, Mexico",Medium-Light,60/78,$25.00/14 ounces,September 2022,92,Aroma:,8,Acidity/Structure:,8,Body:,9,Flavor:,9,Aftertaste:,8,"Blind Assessment: Crisply sweet, fruit-toned. Dried plum, hazelnut, cocoa powder, marjoram, fresh-cut fir in aroma and cup. Sweet-toned structure with gently fruity acidity; crisp, silky mouthfeel. The finish consolidates to cocoa-toned marjoram with hints of hazelnut.","Notes: Produced by smallholding members of the TAMBOR Cooperative, from trees of the Bourbon, Catuai, Caturra, Typica and Mundo Novo varieties of Arabica, and processed by the natural method (dried in the whole fruit). Mostra Coffee is a women-, minority-, veteran-, and immigrant-owned micro-roaster based in north county San Diego. For more information, visit www.mostracoffee.com.","The Bottom Line: A quietly confident, gently fruit-forward natural-processed Mexico cup from the coastal region of Nyarit, not typically associated with coffee."
Mexico La Cañada Oaxaca Organic,Lone Coffee,"Escondido, California","La Cañada, Oaxaca, Mexico",Medium-Light,58/78,$26.00/12 ounces,September 2022,91,Aroma:,8,Acidity/Structure:,8,Body:,8,Flavor:,9,Aftertaste:,8,"Blind Assessment: Deeply sweet, nut-toned. Cashew butter, cocoa nib, date, tiger lily, fresh-cut fir in aroma and cup. Crisply sweet structure with balanced acidity; delicate, silky mouthfeel. Creamy cashew notes lead the short finish with tiger lily and date resurfacing in the long.","Notes: Produced by smallholding members of the Union de Productores Las Flores, from trees of the Mundo Novo, Bourbon and Typica varieties of Arabica, and processed by the washed method. Certified organic. Lone Coffee is an Escondido, California-based specialty micro-roaster with an adjacent coffee shop, Kettle Coffee & Tea. Visit www.lonecoffee.com for more information.","The Bottom Line: A friendly, accessible Mexico cup, sweetly nutty with gentle fruit and floral underpinnings."
