coffee_name,roaster_name,roaster_location,coffee_origin,roast_level,agtron,est_price,review_date,overall_score,h1,s1,h2,s2,h3,s3,p1,p2,p3
Panama Geisha Honey Aroma Roast,Simon Hsieh's Aroma Roast Coffees,"Taoyuan City, Taiwan","Boquete growing region, western Panama",Medium,49/68,NTD $2600/8 ounces,August 2012,93,Review Date:,August 2012,Aroma:,8,Acidity:,9,"Blind Assessment: Shifting, engaging complexity. Just a few of the notes we registered: apricot, honey, melon, fresh pipe tobacco, cedar, dark chocolate. There were more. Delicately bright, floral-toned acidity; light, silky/satiny mouthfeel. Pleasingly soft though fading finish.","Notes: Produced from trees of the rare Ethiopia-derived botanical variety Geisha (also Gesha). With its generally elongated beans and distinctive floral and crisp, often chocolaty cup, the Gesha variety continues to distinguish itself as one of the world's most unique coffees. This Gesha was processed by the “honey” method, meaning the skin was removed from the coffee fruit immediately after picking but the beans or seeds were dried with at least some of the fruit pulp or “honey” still adhering to them. This practice contrasts to the more conventional wet or washed method, wherein both skin and pulp are removed from the beans before drying. In addition to his retail roasting operation Aroma Roast Coffees, Simon Hsieh also operates Soaring Phoenix Trading, a business focused on purposed-built commercial espresso blends and high quality single-origin coffees. Visit www.facebook.com/4ArtsZeroDefectCoffees or call 886-0983-749876 for more information.","Who Should Drink It: Well-heeled lovers of the gently exotic; this Gesha displays a seemingly endless subtle, restless, teasing complexity. "
Panama Elida Estate Natural,Willoughby's Coffee & Tea,"Branford, Connecticut","Alto Quiel, Boquete, Panama.",Medium,51/66,$18.99/16 ounces,August 2012,93,Review Date:,August 2012,Aroma:,9,Acidity:,9,"Blind Assessment: Delicately rich, deeply fruit-toned: minty chocolate, caramel and lushly carnal fruit, apricot or mango. Gentle, deep-toned acidity; lightly syrupy mouthfeel. Flavor-saturated finish.  ","Notes: This is a dry-processed or ""natural"" coffee, meaning the beans were dried inside the fruit rather than after the fruit has been removed, as is the case with wet-processed or ""washed"" coffees. The Lamastus family’s Elida Estate averages the highest growing elevations in Panama: 5,500 to 8,200 feet (1,700 to 2,500 meters). Willoughby's Coffee & Tea is a pioneer specialty coffee roaster established in the early 1980s that has gracefully and successfully moved with the times and now offers a menu of extremely refined small-lot, single-origin coffees. Visit www.willoughbyscoffee.com or call 800-388-8400 for more information.",Who Should Drink It: More chocolaty depth and richness than brandy and fruit in this surprisingly clean and balanced dried-in-the-fruit natural.
Panama Don Pachi Natural Geisha,Klatch Coffee,"Los Angeles, California","Boquete growing region, western Panama",Medium-Light,55/78,$59.95/8 ounces,August 2012,94,Review Date:,August 2012,Aroma:,9,Acidity:,9,"Blind Assessment: Extraordinary deep, shifting complexity. Honey, brandy, plum, dark chocolate, lush dusk flowers in aroma and cup, although along the way any number of other aromatic notes emerge with brief, startling clarity. Round, savory-sweet structure; rich, brandyish acidity; syrupy mouthfeel. Long, flavor-saturated finish. ","Notes: Produced from trees of the rare Ethiopia-derived botanical variety Geisha (more properly spelled Gesha). With its generally elongated beans and distinctive floral and crisp, often chocolaty cup, the Gesha variety continues to distinguish itself as one of the world's most unique coffees. This is a dry-processed or ""natural"" coffee, meaning the beans were dried inside the fruit rather than after the fruit has been removed, as is the case with wet-processed or ""washed"" coffees. Klatch Coffee is an award-winning small-batch roasting company in the Los Angeles area whose resident barista and trainer, Heather Perry, won both the 2003 and 2007 United States Barista Championships brewing a Clatch coffee espresso blend.  Visit www.klatchroasting.com or call 877-455-2824 for more information.",Who Should Drink It: Any coffee drinker with the cash to buy an amazing expression of sensory complexity. 
"Esmeralda Leon, Panama Geisha Auction Lot",Klatch Coffee,"Los Angeles, California","Cañas Verdes, Boquete growing region, western Panama.",Medium-Light,52/73,$39.95/8 ounces,August 2012,96,Review Date:,August 2012,Aroma:,9,Acidity:,9,"Blind Assessment: Intense, complex floral notes, from crisp lavender to sweet lilies, with an underlying nut-toned dark chocolate that suggests fine roasted cocoa nibs. Zesty orange citrus. Rich acidity; syrupy mouthfeel. The finish may be a tad too dry for some coffee drinkers but it is rich and deeply flavor-saturated. ","Notes: This is an auction lot of Esmeralda Gesha from Hacienda La Esmeralda, the producer that first introduced the celebrated Gesha variety of Arabica to the world. Léon is a 2012 batch of Esmeralda Gesha; in this case a batch is defined as coffee that has been harvested together on the same date. With its generally elongated beans and distinctive floral and crisp, often chocolaty cup, the Gesha variety continues to distinguish itself as one of the world's most unique coffees. This Gesha was processed by the orthodox wet or washed method, in which both skin and fruit flesh are removed from the beans or seeds before they are dried. Klatch Coffee is an award-winning small-batch roasting company in the Los Angeles area whose resident barista and trainer, Heather Perry, won both the 2003 and 2007 United States Barista Championships brewing a Klatch Coffee espresso blend.  Visit www.klatchroasting.com or call 877-455-2824 for more information.",Who Should Drink It: Those who can handle the price and the intensity: a Gesha on steroids. 
Gelena Abaya Natural Processed Ethiopia,OQ Coffee Co.,"New Brunswick, New Jersey","Kersa district, Oromia region, southern Ethiopia.",Light,66/88,$14.99/12 ounces,July 2012,94,Review Date:,July 2012,Aroma:,10,Acidity:,8,"Blind Assessment: Symphonically complex aroma – honeyish chocolate, blueberry, guava, pineapple, dusk flowers – carries into the cup, where the opulent blueberry note in particular dominates. Juicy acidity; light, silky mouthfeel. Resonant, blueberry-saturated finish. ","Notes: This is a dry-processed or ""natural"" coffee, meaning the beans were dried inside the fruit rather than after the fruit has been removed, as is the case with wet-processed or ""washed"" coffees. It is an unusually clean and classic version of an Ethiopia dried-in-the-fruit coffee. OQ Coffee is a New Jersey-based small-batch roasting company that emphasizes its commitment to coffee quality and community-building. Visit www.oqcoffee.com for more information.","Who Should Drink It: A splendid dried-in-the-fruit-style Ethiopia coffee, richly complex with the classic blueberry note often associated with the type."
‘Bou Games Gold 2012,Caribou Coffee,"Minneapolis, Minnesota",El Salvador,Medium,49/58,$16.99/16 ounces,July 2012,92,Review Date:,July 2012,Aroma:,9,Acidity:,8,"Blind Assessment: Rich, deep, complexly fermenty. Raisiny fruit, baker’s chocolate, pungent mango and pine, a suggestion of caramelly bourbon whisky, a hint of flowers. Profoundly sweet yet deeply savory in structure. Full, satiny mouthfeel. Some sweetness and chocolate carry into a rich but drying finish.","Notes: This coffee is 100% Rainforest Alliance certified, meaning it was produced following sustainable ecological and socio-economic criteria developed by the Sustainable Agricultural Network, a coalition of independent, environment-focused non-governmental organizations. It is a dry-processed or ""natural"" coffee, meaning the beans were dried inside the fruit rather than after the fruit has been removed, as is the case with wet-processed or ""washed"" coffees. Caribou Coffee is a retail roasting chain based in the upper Middle West whose rather irreverent motto ""Life is short. Stay awake for it"" belies a serious approach to coffee.  Visit www.cariboucoffee.com or call 888-227-4268 for more information.","Who Should Drink It: An admirably, indeed strikingly, unorthodox coffee from a major coffee company. If you are certain you only like pure, sweetly bright, classically clean high-grown coffees don’t bother with this one, but the open-minded should sample this deep, savory-sweet, whiskyish effort."
Paradise A,GT Coffee,"Bangkok, Thailand",Northern Thailand.,Medium-Light,46/78,$5.03/8 ounces,July 2012,89,Review Date:,July 2012,Aroma:,7,Acidity:,8,"Blind Assessment: Quiet, softly balanced. Fresh-cut fir, honey, hints of chocolate and tart fruit in aroma and cup. Gently brisk acidity; lightly syrupy mouthfeel. Rich, savory-sweet finish.","Notes: Produced in the “Golden Triangle,” the mountainous region overlapping the order regions of Myanmar, Thailand, and Laos. Coffee is one of several crops developed to replace the traditional production of opium in the region. This particular fine Arabica coffee is from the northern Thailand village of Doi Chang, Doi Wawee District. Golden Triangle produces fine coffee from Myanmar and Laos as well as from Thailand, where the company is based. It is involved in all aspects of coffee production, from farming through milling to roasting and sales. Visit www.doiwaaweecoffee.com or call 66-81-658-0856 for more information.","Who Should Drink It: An understated, nicely structured breakfast cup for those who prefer the calm to the dramatic."
SpeedGoatKarl’s 100-Mile Blend,Jameson Coffee,"Greencastle, Indiana",Not disclosed.,Medium,42/62,$12.00/12 ounces,July 2012,88,Review Date:,July 2012,Aroma:,8,Acidity:,7,"Blind Assessment: Nutty, cocoa-nib-like chocolate dominates in aroma and cup, with complicating hints of cedar, honeyish flowers and molasses. Backgrounded acidity; light, slightly leanish mouthfeel. Some cocoa-nib chocolate carries into a richly balanced finish.","Notes: This blend was created in partnership with ‘ultrarunner’ Karl Meltzer, who at this date has won thirty-two (and counting) 100-mile mountain runs. Jameson Coffee is a small-batch roaster in Greencastle Indiana. Their mission is to “Offer exceptional tasting coffee, provide unequaled service, treat people well and have fun.”  Visit www.jamesoncoffee.com or call 800-694-9559 for more information.","Who Should Drink It: A woodsy kind of coffee, with its appealing roasted cocoa nib, cedar and honey suggestions.   "
Kenyan AA Auction Lot,Mystic Monk Coffee,"Clark, Wyoming",Central Kenya.,Medium,48/59,$13.99/12 ounces,July 2012,92,Review Date:,July 2012,Aroma:,9,Acidity:,9,"Blind Assessment: Complexly expressed notes of sweetly tart tropical fruit -- guava, passion-fruit – dominate with startling and pleasing intensity in aroma, acidity and cup, nuanced by hints of flowers and a backgrounded dark chocolate. Smooth, silky mouthfeel. Fades a bit in the finish. ","Notes: Despite grower discontent and urban encroachment on prime coffee lands, Kenya continues to produce some of the world's most elegant and distinctive coffees. AA is the highest grade of Kenya coffee based on bean size and freedom from physical imperfections. Mystic Monk Coffee is a small-batch roaster associated with a Carmelite monastery located in the Rocky Mountains of northern Wyoming. Roastmaster Brother Java emphasizes his artisan approach to roasting and his commitment to quality. This is one of Mystic Monk’s Coffees of the Month series. Visit www.mysticmonkcoffee.com or call 877-751-6377 for more information.","Who Should Drink It: Aficionados should enjoy the remarkable tropical turn the tart, complex Kenya fruit takes here."
Artemis True Coffee Blend,True Coffee Roasting Studio,"Taipei County, Taiwan",Not disclosed.,Medium-Light,54/71,NT $600/16 ounces,July 2012,93,Review Date:,July 2012,Aroma:,9,Body:,8							,"Blind Assessment: Evaluated as espresso. Complex and dynamic profile in the small cup. Tangerine, cedar, vanilla, anise, honey, with rich floral top notes. Lightly syrupy mouthfeel. Flavor persists in a rich finish; in two parts milk rounds and sweetens toward chocolate without losing authority or complexity.",Notes: True Coffee Roasting Studio is a Taiwanese micro-roaster founded by Eison Hon in 2010; he believes that coffee is a “gift from god” and that roasters should treat every coffee with the greatest possible respect.  Visit www.facebook.com/true.coffee2010 or call +886-980-284-834 for more information.,Who Should Drink It: Versatile espresso should please both as a complex and exotic straight shot as well as an authoritative presence in milk drinks.
Ethiopia Yirgacheffe Kochere Grade 1,Coffea Roasterie,"Sioux Falls, South Dakota","Kochere District, southern Ethiopia.",Medium-Light,57/72,$16.25/12 ounces,July 2012,91,Review Date:,July 2012,Aroma:,8,Acidity:,8,"Blind Assessment: Sweet-toned, delicate, lyrically bright. Distinct rose-like floral notes, orange, green apple, cocoa, almond in aroma and cup. Crisp, lively but balanced acidity; silky to lightly syrupy mouthfeel. Despite the delicacy of the cup, deep- and rich-finishing.","Notes: The Kochere District adjoins the Yirgacheffe coffee growing region in southern Ethiopia, famous for its distinctively floral- and fruit-toned coffees from traditional varieties of Arabica long grown in the region. Yirgacheffe-style coffees like this one processed by the wet or washed method (fruit skin and pulp is removed before drying) typically express great aromatic complexity and intensity with a particular emphasis on citrus and floral notes. Coffea Roasterie is a South Dakota-based wholesale and retail roaster, offering a small but refined selection of mostly single-origin coffees.  Visit www.coffearoasterie.com or call 605-362-9955 for more information.",Who Should Drink It: Those who enjoy lighter roasted coffees; in this case the lightish roast promotes the coffee’s rose-like floral character and a crisply lively acidity.
Ethiopia Yirgacheffe Kochere Grade 1r,Turnstile Coffee Roasters,"Belmar, New Jersey","Kochere District, southern Ethiopia.",Medium,49/66,$16.00/12 ounces,July 2012,93,Review Date:,July 2012,Aroma:,9,Acidity:,9,"Blind Assessment: Richly tart berry, caramel, walnut, night flowers in aroma and cup. Richly lyric, perfectly balanced acidity. Light but impressively silky mouthfeel. Clean, rich, flavor-saturated finish.","Notes: The Kochere District adjoins the Yirgacheffe coffee growing region in southern Ethiopia, famous for its distinctively floral- and fruit-toned coffees from traditional varieties of Arabica long grown in the region. Yirgacheffe-style coffees like this one processed by the wet or washed method (fruit skin and pulp is removed before drying) typically express great aromatic complexity and intensity with a particular emphasis on citrus and floral notes. Turnstile Coffee Roasters brings the city coffee experience to the Jersey Shore in Belmar, New Jersey. Visit www.turnstilecoffee.com or call 732-894-9012 for more information.","Who Should Drink It: A breakfast cup both exotic in its aromatics and classic in its brisk, suavely balanced acidity."
Guatemala Huixoc,Lexington Coffee Roasters,"Lexington, Virginia","Huehuetenango growing region, northwestern Guatemala.",Light,65/85,$11.25/12 ounces,July 2012,90,Review Date:,July 2012,Aroma:,8,Acidity:,7,"Blind Assessment: Flowers, honey, tangerine, fir in aroma and cup. Brisk, zesty acidity; light but very silky mouthfeel. Flavor consolidates toward chocolate in a sweet, gently drying finish.  ","Notes: Rainforest Alliance Certified, meaning this coffee was produced following sustainable ecological and socio-economic criteria developed by the Sustainable Agricultural Network, a coalition of independent, environment-focused non-governmental organizations. Processed by the classic wet method: fruit is removed before drying using traditional ferment-and-wash methods and the beans are sun-dried. Produced on Finca Huixoc from trees of the Bourbon, Caturra, Catuai and Mundo Nuevo varieties of Arabica. Founded in 1990, Lexington Coffee is an award-winning artisan roasting company based in Virginia. Lexington’s focus on fresh, flavorful and sustainable coffee is reflected in its motto, “Fresh, Flavorful & Fair.” Visit www.lexingtoncoffee.com or call 800-322-6505 for more information.","Who Should Drink It: Those who enjoy lighter-roasted coffees with delicately brisk acidity and fresh, meadowy aromatics."
Kenya Kamwangi Peaberry,Lexington Coffee Roasters,"Lexington, Virginia","Kamwangi growing district, central Kenya.",Medium,42/61,$14.50/12 ounces,July 2012,90,Review Date:,July 2012,Aroma:,8,Acidity:,8,"Blind Assessment: Deep and savory-sweet. Molasses-leaning dark chocolate, fig, cedar, rose-like flowers in aroma and cup. Gently tart acidity; silky mouthfeel. Rich, round, slightly drying finish.   ","Notes: Processed by the classic Kenya wet-processing method: fruit is removed before drying using traditional ferment-and-wash methods and the beans are sun-dried. This sample consists entirely of peaberries, a kind of bean that results when the coffee fruit develops only a single, oval bean rather than the usual pair of flat-sided beans. Peaberries produce a somewhat different (often better) cup than normal beans from the same crop, from which they may or may not be separated during grading. Founded in 1990, Lexington Coffee is an award-winning artisan roasting company based in Virginia. Lexington’s focus on fresh, flavorful and sustainable coffee is reflected in its motto, “Fresh, Flavorful & Fair.” Visit www.lexingtoncoffee.com or call 800-322-6505 for more information.",Who Should Drink It: A darker roast turns the pungent Kenya fruit toward molasses and chocolate and deepens the flowers toward rose. A good Kenya for those who prefer depth to brightness.
Bufcafe Rwanda Espresso,JBC Coffee Roasters,"Madison, Wisconsin",Rwanda,Medium,46/57,$12.99/12 ounces,July 2012,93,Review Date:,July 2012,Aroma:,9,Body:,8							,"Blind Assessment: Rich, round and deep. Baker’s chocolate, honey, and an apricot-like fruit in aroma and small cup. Full, syrupy mouthfeel. The finish is drying but sweet, with a persistent chocolate. Three parts milk nicely plumps up the chocolate and encourages a floral nuance in the honey note.","Notes: Rwanda's impressive potential as fine coffee producer has come to fruition over the last several years owing to the industry of its growers, generous support from international aid agencies and the commitment of North American specialty coffee roasters. JBC Coffee Roasters (formerly Johnson Brothers Coffee Roasters) is a distinguished small-batch roasting company. Visit www.jbccoffeeroasters.com or call 608-256-5282 for more information.","Who Should Drink It: A remarkably versatile single-origin espresso. Complex, round and sweetly crisp as a straight shot; rounds beautifully in milk. Should be authoritative enough to maintain presence in tall milk."
Ethiopia Yirgacheffe Kochere Grade 1,Victrola Coffee Roasters,"Seattle, Washington","Kochere District, southern Ethiopia.",Medium-Light,53/75,$11.00/8 ounces,July 2012,92,Review Date:,July 2012,Aroma:,9,Acidity:,8,"Blind Assessment: Very sweet, delicate. Rose-like flowers, milk chocolate, orangy citrus, spice, savory date in aroma and cup. Soft, gently backgrounded acidity; light but syrupy-textured mouthfeel. Sweet, deeply flavor-saturated (date, rose) short finish fades slightly in the long.","Notes: The Kochere District adjoins the Yirgacheffe coffee growing region in southern Ethiopia, famous for its distinctively floral- and fruit-toned coffees from traditional varieties of Arabica long grown in the region. Yirgacheffe-style coffees like this one processed by the wet or washed method (fruit skin and pulp is removed before drying) typically express great aromatic complexity and intensity with a particular emphasis on citrus and floral notes. Victrola is a small-batch, hands-on roaster with a passionate commitment to quality and distinctiveness. Visit www.victrolacoffee.com or call 206-624-1725 for more information.","Who Should Drink It: Unusual profile for coffee adventurers: Complex, very wide-ranging aromatics with an underlying savory depth to the sweetness."
Tanzania Peaberry Kilimanjaro,Klatch Coffee,"San Dimas, California","Kilimanjaro growing region, Tanzania",Medium,49/72,$13.50/12 ounces,July 2012,90,Review Date:,July 2012,Aroma:,9,Acidity:,7,"Blind Assessment: Delicately intense. Rose-like flowers, cardamom, honey, a savory carob-like chocolate in aroma and cup. Soft but drying acidity; lively, lightly creamy-textured mouthfeel. Some flavor persists in a sweet though drying finish. ","Notes: This sample consists entirely of peaberries, a kind of bean that results when the coffee fruit develops only a single, oval bean rather than the usual pair of flat-sided beans. Peaberries produce a somewhat different (often better) cup than normal beans from the same crop, from which they may or may not be separated during grading. For reasons that are not entirely clear, Tanzania is particularly associated with its peaberry grades. Coffee Klatch is an award-winning small-batch roasting company in the Los Angeles area whose resident barista and trainer, Heather Perry, won both the 2003 and 2007 United States Barista Championships brewing a Coffee Klatch espresso blend. Visit www.klatchroasting.com or call 877-455-2824 for more information.","Who Should Drink It: Coffee lovers interested in sampling a distinctive version of an important historical coffee type. Botanical variety is not specified, but this sample tasted to us as though it brought some heirloom East Africa Bourbon or SL28 character to the cup."
