coffee_name,roaster_name,overall_score,roaster_location,p1,p2,p3,roast,aroma,acidity,body,flavor,aftertaste,with_milk,bean_agtron,ground_agtron,year,month,roaster_location_lat,roaster_location_lon,origin_lat,origin_lon
Tanzania Hope Peaberry,49th Parallel Coffee Roasters,91,"Burnaby, British Colombia, Canada","Blind Assessment: Both co-cupper Jim Reynolds (90) and Ken (91) described a very sweet-toned aroma and pleasingly delicate acidity, which Ken glossed as ""wine-toned."" Lightly syrupy mouthfeel, clean and balanced in flavor, ""nutty"" for Jim, tartly fruity and floral for Ken. Very sweet-finishing.","Notes: This sample consists entirely of peaberries, a kind of bean that results when the coffee fruit develops only a single, oval bean rather than the usual pair of flat-sided beans. Peaberries produce a somewhat different (often better) cup than normal beans from the same crop, from which they may or may not be separated during grading. This Tanzania peaberry is produced by small-holding growers in the Mbeya region, near Lake Rukwa in southwestern Tanzania. 49th Parallel is a distinguished small-batch roasting company located in the Vancouver, Canada area that specializes in high-end single-origin and blended coffees, many sourced directly from origin. Visit www.49thparallelroasters.com or call 877-773-4900 for more information.","Who Should Drink It: Pure, delicate coffee, with the crisp gentleness coffee tradition associates with the Tanzania peaberry grade. Don?t add anything to this coffee.",2,7,8,8,,,,47,76,2009,6,49.2433804,-122.972545,-6.5247123,35.7878438
Rwanda Kabuye Cooperative Full Flavor Roast,Terroir Coffee,92,"Acton, Massachusetts","Blind Assessment: Ken (93) favored this coffee considerably more than did co-cupper Jim Reynolds (89) despite the fact that both described it in similar terms. Ken was taken by floral qualities in aroma and cup, an essential sweetness, and what he called a complimentary ""cocoaish dry fruit,"" doubtless the same sensation as Jim describes positively as ""pungent"" and ""spicy and nutty."" Both agreed that the acidity was gentle, though Ken scored it higher and described it as ""crisp and sweet."" Both found the mouthfeel attractively smooth and the finish long and flavor-saturated.","Notes: A prize winner in the 2008 Rwanda Cup of Excellence competition, where as a green (unroasted) coffee it placed sixth out of hundreds of entries, attracting a score of 88.95 from an international jury. Rwanda's tremendous potential as fine coffee producer has only come to fruition over the past four to five years owing to generous support from international aid agencies, the specialty coffee community and the industry of its growers. Produced entirely from trees of the heirloom Bourbon variety by the Kabuye co-op. Terroir is a microroaster selling only elite single-origin coffees, no blends. It specializes in medium roast styles designed to foreground the character of the green coffee. Terroir is the creation of George Howell, one of the world's leading coffee visionaries. Visit www.terroircoffee.com or call 866-444-5282 for more information.","Who Should Drink It: A classic medium-roasted Rwanda with a soft, refined Bourbon character, balancing floral sweetness and crisp pungency.",2,9,8,8,,,,55,75,2009,6,42.4850931,-71.43284,-1.9646631,30.0644358
Rwanda COE Lot 16,Bull Run Roasting,92,"Minneapolis, Minnesota","Blind Assessment: Ken (92) particularly admired this coffee's deep, night-blossoming floral character which he felt was balanced by an underlying crisp, cedary cocoa. Co-cupper Jim Reynolds (91) found the profile ""mild"" and caramelly with a soft ? for Jim, a bit too soft ? acidity.","Notes: A prize winner in the 2008 Rwanda Cup of Excellence competition, where as a green (unroasted) coffee it placed sixteenth out of hundreds of entries, attracting a score of 85.86 from an international jury. Rwanda's tremendous potential as fine coffee producer has only come to fruition over the past four to five years owing to generous support from international aid agencies, the specialty coffee community and the industry of its growers. Produced entirely from trees of the heirloom Bourbon variety. Bull Run is a specialty coffee roaster and wholesaler, with plans to retail their coffee in a soon-to-open store and online. Visit www.bullrunroasters.com or call 800-481-4197 for more information.","Who Should Drink It: A gentle, complete coffee, subtle but complex.",3,9,8,8,,,,46,58,2009,6,44.9772995,-93.2654692,-1.9646631,30.0644358
Rwandan,Zingerman's Coffee,93,"Ann Arbor, Michigan","Blind Assessment: Co-cupper Jim Reynolds and Ken both admired this coffee, but Ken, at 90, was less admiring than Jim at 95. Essentially, Jim found everything he wanted in an African coffee of this style - a combination of complexity, balance and deep dimension - whereas Ken liked what he found but wanted more of it, more intensity and a more pronounced, distinctive character. Both admired a bright, citrusy but delicate acidity, silky mouthfeel, and a mildly pungent chocolate that Jim described as ""smoky chocolate"" and Ken as ""cocoa and aromatic wood."" Jim found the aftertaste ""lingering,"" Ken found it pleasing but short.","Notes: Rwanda's tremendous potential as fine coffee producer has only come to fruition over the past four to five years owing to generous support from international aid agencies, the specialty coffee community and the industry of its growers. This coffee, from the Bufcafe (also Bufcoffee) Cooperative, is produced entirely from trees of the heirloom Bourbon variety of Arabica. Zingerman's Coffee is a specialty roasting company associated with Zingerman's Deli in Ann Arbor, praised as ""one of the top 25 food markets in the world"" by Food & Wine magazine. It offers a relatively small but sensitively sourced and roasted menu of specialty coffees. Visit www.zingermanscoffee.com or call 734-929-6060 for more information.","Who Should Drink It: A darkish (but not dark) roast style is felt but not tasted in this subtly complex Bourbon-style Africa coffee, making it a cup both comfortable yet distinctive.",4,9,9,9,,,,43,56,2009,6,42.2681569,-83.7312291,-1.9646631,30.0644358
Burundi Bwayi Lot No. 8,Counter Culture Coffee,93,"Durham, North Carolina","Blind Assessment: Both co-cupper Jim Reynolds (94) and Ken (91) particularly admired the ""active acidity"" (Jim) of this coffee with its rich berry and floral influences. Jim found the flavor ""complex but balanced."" Ken was more specific: ""dark chocolate, cherryish fruit, a hint of dusk flowers."" Both approved of mouthfeel (""lightly syrupy,"" Ken) and finish (""light, bright and very pleasant,"" Jim).","Notes: Burundi is a small, landlocked country in Central Africa. Most coffee is grown in the mountains of the north, bordering Rwanda. Benefiting from ideal growing conditions and large plantings of the heirloom Bourbon variety of Arabica, Burundi coffee has an excellent reputation, though it is better known in Europe than in the United States. This Burundi was produced from trees of the admired French Mission Bourbon variety and its derivative cultivars Jackson and Mibirizi. Counter Culture is a small-batch wholesale specialty roaster with an informative and lively website, a commitment to fine coffee and youthful, enthusiastic leadership. Visit www.counterculturecoffee.com or call 888-238-5282 for more information.","Who Should Drink It: Rich, nuanced acidity without aggressive edge and complex balance should make this a versatile breakfast cup.",3,9,9,8,,,,49,63,2009,6,35.996653,-78.9018053,-3.426449,29.9324519
Tanzania Karmaro Micro-Lot,49th Parallel Coffee Roasters,93,"Burnaby, British Colombia, Canada","Blind Assessment: Co-cupper Jim Reynolds (92) admired the ""spicy, floral qualities"" of this coffee, as did Ken (94), who found blackberry and spicy rose in both aroma and cup. A medium-bodied coffee, but both Jim and Ken remarked on the impressively smooth mouthfeel. Ken showed perhaps a bit more admiration for delicate poise of this coffee, which may account for his higher score.","Notes: This sample consists entirely of peaberries, a kind of bean that results when the coffee fruit develops only a single, oval bean rather than the usual pair of flat-sided beans. Peaberries produce a somewhat different (often better) cup than normal beans from the same crop, from which they may or may not be separated during grading. Specialty coffee tradition particularly associates peaberries with Tanzania. This version is produced by small-holding growers in the Mbeya region, near Lake Rukwa in southwestern Tanzania. 49th Parallel is a distinguished small-batch roasting company located in the Vancouver, Canada area that specializes in high-end single-origin and blended coffees, many sourced directly from origin. Visit www.49thparallelroasters.com or call 877-773-4900 for more information.",Who Should Drink It: Crisp authority yet fine subtlety in this Tanzania.,3,9,8,8,,,,47,70,2009,6,49.2433804,-122.972545,-6.5247123,35.7878438
Burundi Kinyovu,Kaldi's Coffee Roasting,95,"St. Louis, Missouri","Blind Assessment: Co-cupper Jim Reynolds (95): ""This coffee scored well in every category. I especially liked the floral acidity - a nice vanilla and chocolate aspect to the flavor complemented the smooth - very smooth - mouthfeel."" Ken's praise (94) was nearly identical, though he added ""spicy fruit"" and a hint of lemon to his descriptors. Impressive flavor persistence in a long, rich finish. ","Notes: Burundi is a small, landlocked country in Central Africa. Most coffee is grown in the mountains of the north, bordering Rwanda. Benefiting from ideal growing conditions and large plantings of the heirloom Bourbon variety of Arabica, Burundi coffee has an excellent reputation, though it is better known in Europe than in the United States. This particular Burundi was produced from trees of the Bourbon variety and Bourbon derivative varieties Jackson and Mibirizi. Founded in 1994, Kaldi's Coffee is a quality-oriented small-batch roaster with several cafes throughout Missouri. Visit www.kaldiscoffee.com or call 888-892-6333 for more information.","Who Should Drink It: A complete expression of a Central Africa profile: balance, richness, complexly expressed acidity, silky body, pungently floral aromatics.",2,9,9,8,,,,53,77,2009,6,38.6319657,-90.2428756,-3.426449,29.9324519
Joyful-Cimei Blend,Joyful-House,89,"Kaohsiung, Taiwan","Blind Assessment: Evaluated as espresso. Sweetly aromatic in the small cup, with soft notes of toast, honey and fruit. Medium to full body with orangey chocolate notes and hints of flowers and caramel. The fruit toned chocolate persists in the bittersweet finish. In two parts milk, toast and cocoa dominate the cup at first, with the orange-like character re-emerging as the cup cools, lingering into the finish.","Notes: Based in the city of Kaohsiung in Taiwan, Joyful-House is a cafe and micro-roaster that features single origin coffees, espresso blends and Chinese specialty foods. Joyful-Cimei Blend is one of several coffees Joyful-House offers as espresso in its cafe. Visit www.joyful-house.com.tw or call 886-7-3581116 for more information.",Who Should Drink It: Those who enjoy espresso with soft hints of fruit and chocolate either in a straight shot or with milk.,3,8,,7,8,,,42,62,2009,5,22.6203348,120.3120375,10.2116702,38.6521203
Colombia Las Mingas Micro-Lot – Anival Gomez,Bird Rock Coffee Roasters,90,"La Jolla, California","Blind Assessment: The aroma is sweet-toned and alive with flowers, ripe tomato, a hint of cedar; the mouthfeel silky. The issue in the cup is the acidity, sweet but intense, all but sidelining delicate cocoa and floral notes and carrying with dry authority into the finish.","Notes: La Mingas is a program set up by coffee exporter Virmax Cafe, designed to promote direct trade relationships between quality-minded Colombian coffee growers and importers and roasters in coffee consuming countries. Based in the San Diego area, Bird Rock Coffee Roasters is a retailer and wholesaler that focuses on organic and socially responsible coffees. Visit www.birdrockcoffee.com or call 858-551-1707 for more information.","Who Should Drink It: Lovers of dry, austere white table wines.",4,9,8,8,,,,47,52,2009,5,32.8401623,-117.2740777,4.099917,-72.9088133
Sumatra Blue Batak,JBC Coffee Roasters,92,"Madison, Wisconsin","Blind Assessment: Sweet-toned aromatic wood and roundly fruity aroma, with hints that suggest coconut. Medium to full body, soft mouthfeel, balanced acidity, and a complex range of flavors - grapefruit, lime, coconut, sweet table grapes, aromatic wood and a suggestion of flowers. Flavor characteristics linger and sweeten in the long, slightly dry finish.","Notes: Blue Batak is a particularly refined version of the traditional style of fruity, earthy Sumatra coffee. JBC Coffee Roasters (formerly Johnson Brothers Coffee Roasters) is a distinguished small-batch roasting company. Visit www.jbccoffeeroasters.com or call 608-256-5282 for more information..",Who Should Drink It: Those who enjoy exotically complex flavors in a balanced cup.,1,8,8,8,,,,58,85,2009,5,43.074761,-89.3837613,-2.4833826,117.8902853
Ethiopia Sidamo Oromia,Lexington Coffee Roasters,92,"Lexington, Virginia","Blind Assessment: A graceful floral-toned cocoa dominates. In the aroma very sweet-toned, buttery pungency, flowering grass, orangy citrus. In the cup, gentle, roast-muted acidity, silky mouthfeel, and the impressive floral-toned cocoa that persists into a rich finish.","Notes: This coffee is certified organically grown and Fair Trade, meaning it was purchased from small-holding farmers at a ""fair"" or economically sustainable price. Founded in 1990, Lexington Coffee is an award winning artisan roasting company based in Virginia. Their focus on fresh, flavorful and sustainable coffee explains their motto, ""Uncommon and Uncompromised."" Visit www.lexingtoncoffee.com or call 800-322-6505 for more information.",Who Should Drink It: A moderately dark roast style rounds and deepens the Ethiopia flowers and fruit.,4,8,8,8,,,,43,54,2009,5,37.7840208,-79.4428157,10.2116702,38.6521203
Zabava Espresso,Storehouse Coffee,88,"Hendersonville, North Carolina","Blind Assessment: Evaluated as espresso. Richly and sweetly aromatic in the small cup, with roasty hints of cedar, spice and tobacco. Lightly syrupy mouthfeel with flavors of dark chocolate, more cedar, and sweet notes of lemon and prune. The chocolate becomes more bittersweet in the finish, overlaying a mild astringency. In two parts milk, a roasty, salty-sweet chocolate dominates the cup.","Notes: Zabava, a Slavic word meaning party, apparently is the inspiration of this blend carrying with it an allusion to the spirit of music and conviviality. Located in the Appalachian mountains of Western North Carolina, Storehouse is a roast-to-order coffee company dedicated to bringing its customers an exceptional coffee experience. Visit www.storehousecoffee.com or call 828-329-1481 for more information.",Who Should Drink It: Those who enjoy a robustly dark-roasted espresso.,6,8,,8,8,,,23,31,2009,5,35.3187279,-82.4609528,,
Rwanda Lake Kivu,Green Mountain Coffee,88,"Waterbury, Vermont","Blind Assessment: Soft aroma of flowers and flowering grass, lime-like citrus and a hint of milky chocolate. Notes of toast, sweet citrus and dry white wine in the cup, with floral hints reemerging as it cools. Balanced acidity, medium body, with a hint of astringency in the mildly fruit-toned chocolate finish.","Notes: A prize winner in the 2008 Rwanda Cup of Excellence competition, where as a green (unroasted) coffee it placed fifteenth out of hundreds of entries, attracting a score of 85.9 from an international jury. Rwanda's tremendous potential as fine coffee producer has only come to fruition over the past four to five years owing to generous support from international aid agencies, the specialty coffee community and the industry of its growers. Produced entirely from trees of the heirloom Bourbon variety by the Abaryoshyakawa Co-op. Keurig/Green Mountain, formerly Green Mountain Coffee Roasters, pioneered single-serve capsule brewing in the United States with its Keurig brewing system, and remains one of the country’s leading large specialty roasters, offering a particularly wide-ranging variety of origins and roast styles. Visit www.GreenMountainCoffee.com or call 888-879-4627 for more information.",Who Should Drink It: Those who prefer the softly subtle to the passionately brash.,3,8,8,7,,,,50,63,2009,5,44.337125349999994,-72.75549720909403,-1.9646631,30.0644358
Old Havana Espresso,Gavina Gourmet Coffee,90,"Vernon, California","Blind Assessment: Both Ken (90) and co-taster Byron Holcomb (89) enjoyed this blend's natural sweetness. Ken found the sweetness balanced by a ""gentle pungency,"" which could have been another term for what Byron described as dry berry or black currant notes. The aroma was delicate and ""floral"" (Byron), the mouthfeel buttery for Ken and nectar-like for Byron. Nicely balanced and gently chocolaty in four parts hot milk.","Notes: Available only in 2-pound valve bags from Don Francisco Gourmet Coffee, the specialty line of F. Gavina & Sons, the large, family-owned-and-operated roasting company in the Los Angeles area. Company ties to Cuba run deep. Two generations were raised on the family coffee plantation there before the business was moved to the United States. Old Havana Espresso originally was created to satisfy the tastes of Cuba's country and city dwellers; the current incarnation has proven popular with a wider market in the United States. Visit www.don-francisco.com or call 800-697-5282 for more information.","Who Should Drink It: Those looking for an espresso blend with natural sweetness, balance, versatility and value.",4,8,,7,8,,,41,53,2009,5,34.007135,-118.22525,,
Espresso Classico,Paradise Roasters,90,"Ramsey, Minnesota","Blind Assessment: A balanced, gently rich espresso. For co-taster Byron Holcomb (91) ""red wine"" in the aroma and tart jam and boysenberry in the flavor. Ken (89) read the sweetness as caramelly rather than fruit-toned and the dry notes as aromatic wood and leather. Both found the body on the light side but the mouthfeel pleasingly smooth. Rich finishing; Byron picked up lavender as the mouthfeel faded. Four parts milk plumped up the body; Byron read ""granola with fruit, cranberry in particular.""",Notes: Paradise Roasters prides itself on roasting and shipping coffee only after orders are placed. Its metaphoric mission is to bring some paradisiacal warmth from the coffee-growing south to the cool environs of Minnesota. Visit www.paradiseroasters.com or call 763-433-0626 for more information.,"Who Should Drink It: Sweetly tart, subtle in small cup and milk.",4,8,,7,9,,,42,55,2009,5,45.0165728,-93.0949501,,
Peggy Sue’s Espresso,Fieldheads Coffee,91,"Kalispell, Montana","Blind Assessment: Complex espresso with a savory-sweet character and a wide sensory range. Co-taster Byron Holcomb (91) associated the savory-sweet tendencies with Southern comfort food, but for those who don't know sweet collard greens and carrots in butter he helpfully elaborates: The aroma displays ""honey, clove and green veggies,"" the body is heavy, the flavor in the small cup ""light and bright with nice notes of sweet and sour."" Ken (91) more prosaically reads a smoky, slightly salty pungency complicated by lively floral-fruit top notes. Fades slightly in four parts milk but retains a pleasing floral and savory vegetable character complicating the usual milk-influenced chocolate. ",Notes: Fieldhead's Coffee is a small-batch wholesale and Internet retail roaster that roasts on order and promises shipping the same day as the coffee is roasted.  Visit www.fieldheadscoffee.com or call 888-466-9287 for more information.,Who Should Drink It: Attractive and original in its juxtaposition of savory weight and floral vivaciousness.   ,4,9,,8,8,,,37,58,2009,5,48.202158,-114.315321,,
Big Truck Espresso,Olympia Coffee Roasting,91,"Olympia, Washington","Blind Assessment: ""Exciting"" espresso for co-taster Byron Holcomb (91) with a shifty, hard-to-read complexity in aroma and small cup. ""Fruit, chocolate, salty/sweet"" for Byron, ""butter, nut, cedar, earth"" for Ken (90). Medium-bodied, with a long, rich, though slightly astringent finish. But comes into its own in four parts milk, where the ambiguity smoothes, fattens and becomes all good: in Byron's reading, ""milk cocoa with lots of spice notes: ginger, herb, allspice, clove.""","Notes: All of the coffees making up this blend are certified organically grown. Olympia Coffee Roasting is a small-batch wholesale and one-location-retail roasting company with a youthful, no-nonsense style and a commitment to high quality organic coffees.  Visit www.olympiacoffeeroasting.com or call 360-753-0066 for more information.",Who Should Drink It: A rugged rig that performs particularly well in milk.,3,9,,7,8,,,44,60,2009,5,47.0451022,-122.8950075,,
